Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Barbados,BRB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Brunei Darussalam,BRN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,12
Bhutan,BTN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Botswana,BWA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
Central African Republic,CAF,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Canada,CAN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Central Europe and the Baltics,CEB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63636363636364,7.18181818181818,7.18181818181818,7.18181818181818,7.18181818181818
Switzerland,CHE,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Channel Islands,CHI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
China,CHN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Cote d'Ivoire,CIV,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Cameroon,CMR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
"Congo, Dem. Rep.",COD,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
"Congo, Rep.",COG,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Colombia,COL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,12,12,12
Comoros,COM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Cabo Verde,CPV,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Costa Rica,CRI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,10,10
Caribbean small states,CSS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07692307692308,5.46153846153846,5.38461538461539,5.38461538461539,5.38461538461539
Cuba,CUB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Czech Republic,CZE,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,7,7
Germany,DEU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Djibouti,DJI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Dominica,DMA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Denmark,DNK,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8
Dominican Republic,DOM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Algeria,DZA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
East Asia & Pacific (excluding high income),EAP,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.8,5.85,6.25,6.95
Early-demographic dividend,EAR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86885245901639,4,4.22950819672131,4.36065573770492,4.68852459016393
East Asia & Pacific,EAS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13793103448276,6.27586206896552,6.3448275862069,6.58620689655172,7.31034482758621
Europe & Central Asia (excluding high income),ECA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.80952380952381,5.76190476190476,6.19047619047619,6.47619047619048,6.90476190476191
Europe & Central Asia,ECS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42857142857143,5.53061224489796,5.71428571428571,5.83673469387755,6.02040816326531
Ecuador,ECU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
"Egypt, Arab Rep.",EGY,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Euro area,EMU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73684210526316,4.73684210526316,4.73684210526316,4.73684210526316,4.73684210526316
Eritrea,ERI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Spain,ESP,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
Estonia,EST,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Ethiopia,ETH,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
European Union,EUU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42857142857143,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714
Fragile and conflict affected situations,FCS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23529411764706,4.23529411764706,4.22857142857143,4.51428571428571,4.8
Finland,FIN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Fiji,FJI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
France,FRA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Faroe Islands,FRO,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10
Gabon,GAB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
United Kingdom,GBR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Georgia,GEO,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Ghana,GHA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
Gibraltar,GIB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
"Gambia, The",GMB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,8,8
Guinea-Bissau,GNB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Equatorial Guinea,GNQ,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Greece,GRC,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Grenada,GRD,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Greenland,GRL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Guam,GUM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
High income,HIC,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28571428571429,5.41071428571429,5.42857142857143,5.41071428571429,5.53571428571429
"Hong Kong SAR, China",HKG,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,8
Honduras,HND,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Heavily indebted poor countries (HIPC),HPC,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71052631578947,4.73684210526316,4.74358974358974,4.94871794871795,5.1025641025641
Croatia,HRV,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
Haiti,HTI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Hungary,HUN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,10,10,10
IBRD only,IBD,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28358208955224,4.50746268656716,4.80597014925373,4.91044776119403,5.11940298507463
IDA & IBRD total,IBT,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.74285714285714,4.92198581560284,5.08510638297872,5.35460992907801
IDA total,IDA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89041095890411,4.95890410958904,5.02702702702703,5.24324324324324,5.56756756756757
IDA blend,IDB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5625,4.5625,4.875,5.3125,5.75
Indonesia,IDN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,6,6
IDA only,IDX,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98245614035088,5.07017543859649,5.06896551724138,5.22413793103448,5.51724137931035
Isle of Man,IMN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,8
Not classified,INX,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
"Iran, Islamic Rep.",IRN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Iraq,IRQ,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Iceland,ISL,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
Israel,ISR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Italy,ITA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
